ID, Group Name, Indentation, Sites IN, Sites OUT, Hist IN, Hist OUT, Group code, Group content, Behavior IN
"93","Ewing tumor and Askin tumor of soft tissue","2","C000-C399,C470-C759",,"9260",,"094",,"3"
"94","Ewing tumor and Askin tumor of soft tissue","2","C000-C399,C470-C639,C659-C768,C809",,"9365",,"094",,"3"
"95","pPNET of soft tissue","2","C000-C399,C470-C639,C659-C699,C739-C768,C809",,"9364",,"094",,"3"
"96","Extrarenal rhabdoid tumor","2","C000-C639,C659-C699,C739-C768,C809",,"8963",,"094",,"3"
"97","Liposarcomas","2","C000-C809",,"8850-8858,8860-8862,8870,8880,8881",,"094",,"3"
"98","Fibrohistiocytic tumors","2","C000-C399,C440-C768,C809",,"8830",,"094",,"3"
"99","Fibrohistiocytic tumors","2","C000-C809",,"8831-8833,8836,9251,9252",,"094",,"3"
"100","Leiomyosarcomas","2","C000-C809",,"8890-8898",,"094",,"3"
"101","Synovial sarcomas","2","C000-C809",,"9040-9044",,"094",,"3"
"102","Blood vessel tumors","2","C000-C809",,"9120-9125,9130-9133,9135,9136,9141,9142,9161,9170-9175",,"094",,"3"
"103","Osseous and chondromatous neoplasms of soft tissue","2","C490-C499",,"9180,9210,9220,9240",,"094",,"3"
"104","Osseous and chondromatous neoplasms of soft tissue","2","C000-C809",,"9231",,"094",,"3"
"105","Alveolar soft parts sarcoma","2","C000-C809",,"9581",,"094",,"3"
"106","Miscellaneous soft tissue sarcomas","2","C000-C809",,"8587,8710-8713,8806,8840-8842,8921,8982,8990,9373",,"094",,"3"
"107","Unspecified soft tissue sarcomas","1","C000-C399,C440-C768,C809",,"8800-8805",,"095",,"3"
"108","Germ cell tumors, trophoblastic tumors, and neoplasms of gonads","0",,,,,,"101,102,103,104,105",
"109","Intracranial and intraspinal germ cell tumors","1",,,,,,"101",
"110","Intracranial and intraspinal germinomas","2","C700-C729,C751-C753",,"9060-9065",,"101",,"0,1,3"
"111","Intracranial and intraspinal teratomas","2","C700-C729,C751-C753",,"9080-9084",,"101",,"0,1,3"
"112","Intracranial and intraspinal embryonal carcinomas","2","C700-C729,C751-C753",,"9070,9072",,"101",,"0,1,3"
"113","Intracranial and intraspinal yolk sac tumor","2","C700-C729,C751-C753",,"9071",,"101",,"0,1,3"
"114","Intracranial and intraspinal choriocarcinoma","2","C700-C729,C751-C753",,"9100",,"101",,"0,1,3"
"115","Intracranial and intraspinal tumors of mixed forms","2","C700-C729,C751-C753",,"9085,9101",,"101",,"0,1,3"
"116","Malignant extracranial and extragonadal germ cell tumors","1",,,,,,"102",
"117","Malignant germinomas of extracranial and extragonadal sites","2","C000-C559,C570-C619,C630-C699,C739-C750,C754-C768,C809",,"9060-9065",,"102",,"3"
"118","Malignant teratomas of extracranial and extragonadal sites","2","C000-C559,C570-C619,C630-C699,C739-C750,C754-C768,C809",,"9080-9084",,"102",,"3"
"119","Embryonal carcinomas of extracranial and extragonadal sites","2","C000-C559,C570-C619,C630-C699,C739-C750,C754-C768,C809",,"9070,9072",,"102",,"3"
"120","Yolk sac tumor of extracranial and extragonadal sites","2","C000-C559,C570-C619,C630-C699,C739-C750,C754-C768,C809",,"9071",,"102",,"3"
"121","Choriocarcinomas of extracranial and extragonadal sites","2","C000-C559,C570-C619,C630-C699,C739-C750,C754-C768,C809",,"9100,9103,9104",,"102",,"3"
"122","Other and unspecified malignant mixed germ cell tumors of extracranial and extragonadal sites","2","C000-C559,C570-C619,C630-C699,C739-C750,C754-C768,C809",,"9085,9101,9102,9105",,"102",,"3"
"123","Malignant gonadal germ cell tumors","1",,,,,,"103",
"124","Malignant gonadal germinomas","2","C569,C620-C629",,"9060-9065",,"103",,"3"
"125","Malignant gonadal teratomas","2","C569,C620-C629",,"9080-9084,9090,9091",,"103",,"3"
"126","Gonadal embryonal carcinomas","2","C569,C620-C629",,"9070,9072",,"103",,"3"
"127","Gonadal yolk sac tumor","2","C569,C620-C629",,"9071",,"103",,"3"
"128","Gonadal choriocarcinoma","2","C569,C620-C629",,"9100",,"103",,"3"
"129","Malignant gonadal tumors of mixed forms","2","C569,C620-C629",,"9085,9101",,"103",,"3"
"130","Malignant gonadal gonadoblastoma","2","C569,C620-C629",,"9073",,"103",,"3"
"131","Gonadal carcinomas","1","C569,C620-C629",,"8010-8041,8050-8075,8082,8120-8122,8130-8141,8143,8190-8201,8210,8211,8221-8241,8244-8246,8260-8263,8290,8310,8313,8320,8323,8380-8384,8430,8440,8480-8490,8504,8510,8550,8560-8573,9000,9014,9015",,"104",,"3"
"132","Gonadal carcinomas","1","C000-C809",,"8441-8444,8450,8451,8460-8473",,"104",,"3"
"133","Other and unspecified malignant gonadal tumors","1","C000-C809",,"8590-8671",,"105",,"3"
"134","Other and unspecified malignant gonadal tumors","1","C569,C620-C629",,"8000-8005",,"105",,"3"
"135","Other malignant epithelial neoplasms and malignant melanomas","0",,,,,,"111,112,113,114,115,116",
"136","Adrenocortical carcinomas","1","C000-C809",,"8370-8375",,"111",,"3"
"137","Thyroid carcinomas","1","C739",,"8010-8041,8050-8075,8082,8120-8122,8130-8141,8190,8200,8201,8211,8230,8231,8244-8246,8260-8263,8290,8310,8320,8323,8430,8440,8480-8481,8510,8560-8573",,"112",,"3"
"138","Thyroid carcinomas","1","C000-C809",,"8330-8337,8340-8347,8350",,"112",,"3"
"139","Nasopharyngeal carcinomas","1","C110-C119",,"8010-8041,8050-8075,8082,8083,8120-8122,8130-8141,8190,8200,8201,8211,8230,8231,8244-8246,8260-8263,8290,8310,8320,8323,8430,8440,8480,8481,8500-8576",,"113",,"3"
"140","Malignant melanomas","1","C000-C809",,"8720-8780,8790",,"114",,"3"
"141","Skin carcinomas","1","C440-C449",,"8010-8041,8050-8075,8078,8082,8090-8110,8140,8143,8147,8190,8200,8240,8246,8247,8260,8310,8320,8323,8390-8420,8430,8480,8542,8560,8570-8573,8940,8941",,"115",,"3"
"142","Other and unspecified carcinomas","1",,,,,,"116",
"143","Carcinomas of salivary glands","2","C079-C089",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588,8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"144","Carcinomas of colon and rectum","2","C180,C182-C189,C199,C209,C210-C218",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"145","Carcinomas of appendix","2","C181",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"146","Carcinomas of lung","2","C340-C349",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"147","Carcinomas of thymus","2","C379",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"148","Carcinomas of breast","2","C500-C509",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"149","Carcinomas of cervix uteri","2","C530-C539",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"150","Carcinomas of bladder","2","C670-C679",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"151","Carcinomas of eye","2","C690-C699",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"152","Carcinomas of other specified sites","2","C000-069,C090-C109,C129-C179,C239-C339,C380-C399,C480-C488,C510-C529,C540-C549,C559,C570-C619,C630-C639,C659-C669,C680-C689,C700-C729,C750-C759",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"153","Carcinomas of unspecified site","2","C760-C768,C809",,"8010-8084,8120-8157,8190-8264,8290,8310,8313-8315,8320-8325,8360,8380-8384,8430-8440,8452-8454,8480-8586,8588-8589,8940,8941,8983,9000,9010-9016,9020,9030",,"116",,"3"
"154","Other and unspecified malignant neoplasms","0",,,,,,"121,122",
"155","Other specified malignant tumors","1",,,,,,"121",
"156","Gastrointestinal stromal tumor","2","C000-C809",,"8936",,"121",,"3"
"157","Pancreatoblastoma","2","C000-C809",,"8971",,"121",,"3"
"158","Pulmonary blastoma and pleuropulmonary blastoma","2","C000-C809",,"8972,8973",,"121",,"3"
"159","Other complex mixed and stromal neoplasms","2","C000-C809",,"8930-8935,8950,8951,8974-8981",,"121",,"3"
"160","Mesothelioma","2","C000-C809",,"9050-9055",,"121",,"3"
"161","Other specified malignant tumors","2","C000-C809",,"9110",,"121",,"3"
"162","Other specified malignant tumors","2","C000-C399,C470-C759",,"9363",,"121",,"3"
"163","Other unspecified malignant tumors","1","C000-C218,C239-C399,C420-C559,C570-C619,C630-C639,C659-C699,C739-C750,C754-C809",,"8000-8005",,"122",,"3"
