ICDVersion;SeqType;SiterecwithKM;Deathcodes-ignoring4thdigit;Deathcodes-requiring4thdigit;Label
1;0;21130;K20-K31,K51-K57,K92; ;OtherDigestiveOrgans
1;0;26000;N61-N64; ;Breast
1;0;27010;B20,B22-B24,N71-N85; ;CervixUteri
1;0;27020;N71-N85; ;CorpusUteri
1;0;27030;N71-N85; ;Uterus,NOS
1;0;27040;N71-N85; ;Ovary
1;0;27050;N71-N85; ;Vagina
1;0;27060;N71-N85; ;Vulva
1;0;27070;N71-N85; ;OtherFemaleGenitalOrgans
1;0;28010;N40-N50; ;Prostate
1;0;28020;N40-N50; ;Testis
1;0;28030;N40-N50; ;Penis
1;0;28040;N40-N50; ;OtherMaleGenitalOrgans
1;0;29010;N17-N19,N28,N39-N40; ;UrinaryBladder
1;0;29020;N17-N19,N28,N39-N40; ;KidneyandRenalPelvis
1;0;29030;N17-N19; ;Ureter
1;0;29040;N17-N19; ;OtherUrinaryOrgans
1;0;33011;B20,B22-B24; ;Hodgkin-Nodal
1;0;33012;B20,B22-B24; ;Hodgkin-Extranodal
1;0;33041;B20,B22-B24; ;NHL-Nodal
1;0;33042;B20,B22-B24; ;NHL-Extranodal
1;0;36020;B20,B22-B24; ;KaposiSarcoma
1;1;20010;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Lip
1;1;20020;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Tongue
1;1;20030;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;SalivaryGland
1;1;20040;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;FloorofMouth
1;1;20050;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;GumandOtherMouth
1;1;20060;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Nasopharynx
1;1;20070;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Tonsil
1;1;20080;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Oropharynx
1;1;20090;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Hypopharynx
1;1;20100;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;OtherOralCavityandPharynx
1;1;21010;C15-C16,C26,K20-K31,K51-K57,K92;D001,D130,D371-D379;Esophagus
1;1;21020;C14-C16,C26,K20-K31,K51-K57,K92;D002,D131,D371-D379;Stomach
1;1;21030;C17-C21,C26,K35-K63,K90-K93;C784,D014,D132,D133,D371-D379;SmallIntestine
1;1;21041;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;Cecum
1;1;21042;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;Appendix
1;1;21043;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;AscendingColon
1;1;21044;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;HepaticFlexure
1;1;21045;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;TransverseColon
1;1;21046;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;SplenicFlexure
1;1;21047;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;DescendingColon
1;1;21048;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;SigmoidColon
1;1;21049;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;LargeIntestine,NOS
1;1;21051;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;RectosigmoidJunction
1;1;21052;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;Rectum
1;1;21060;B21,C17-C21,C26,D12,K20-K31,K51-K57,K62,K92;C445,C785,D013,D035,D045,D225,D235,D371-D379,D485;Anus,AnalCanalandAnorectum
1;1;21071;C22,C26,K20-K31,K51-K57,K70-K76,K92;C787,D015,D134,D371-D379;Liver
1;1;21072;C22,C26,K20-K31,K51-K57,K70-K76,K92;C787,D015,D134,D371-D379;IntrahepaticBileDuct
1;1;21080;C23-C24,C26,K20-K31,K51-K57,K80-K83,K92;D015,D135,D139,D371-D379;Gallbladder
1;1;21090;C23-C24,C26,K20-K31,K51-K57,K80-K83,K92;D015,D135,D139,D371-D379;OtherBiliary
1;1;21100;C25-C26,K20-K31,K51-K57,K80-K83,K92;D017,D136,D137,D371-D379;Pancreas
1;1;21110;C26,C48,K20-K31,K51-K57,K92;C786,D017,D139,D200,D371-D379,D483;Retroperitoneum
1;1;21120;C26,C48,K20-K31,K51-K57,K92;C451,C786,D017,D139,D201,D371-D379,D484;Peritoneum,OmentumandMesentery
1;1;21130;C26,D01,K20-K31,K51-K57,K92;C788,D139,D371-D379;OtherDigestiveOrgans
1;1;22010;C30-C31,C39,D38;C442,D023,D032,D042,D140,D222,D232,D481;Nose,NasalCavityandMiddleEar
1;1;22020;C32-C34,C39,D38;D020,D141;Larynx
1;1;22030;C32-C34,C39,D15,D38;C780,D022,D143,D144;LungandBronchus
1;1;22050;C33,C38-C39,C45,D38;C782,D023,D144;Pleura
1;1;22060;C32-C41,D38;C780-C783,D021,D024,D142,D144;Trachea,MediastinumandOtherRespiratoryOrgans
1;1;23000;C40-C41,D16;C795,D480;BonesandJoints
1;1;24000;C47,C49,C72,D15-D21;C452,D481-D482,D487;SoftTissueincludingHeart
1;1;25010;C43-C44,D03-D04,D22-D23;C792;MelanomaoftheSkin
1;1;25020;C43-C44,C46,D04,D22-D23,D45;C792;OtherNon-EpithelialSkin
1;1;26000;C50,D05,D24,N61-N64;C445,D225,D485,D486;Breast
1;1;27010;B20-B24,C51-C57,D06,D25-D26,D39,N71-N85; ;CervixUteri
1;1;27020;C51-C57,D25-D26,D39,N71-N85;D070,D073;CorpusUteri
1;1;27030;C51-C57,D25-D26,D39,N71-N85;D070,D073;Uterus,NOS
1;1;27040;C51-C57,C79,D27,D39,N71-N85;D073;Ovary
1;1;27050;C51-C57,D28,N71-N85;D072,D397;Vagina
1;1;27060;C51-C57,D28,N71-N85;D071,D397;Vulva
1;1;27070;C51-C58,D25-D26,D28,D39,N71-N85;D073;OtherFemaleGenitalOrgans
1;1;28010;C60-C63,D40,N40-N50;D075,D291;Prostate
1;1;28020;C60-C63,D40,N40-N50;D076,D292;Testis
1;1;28030;C60-C63,D40,N40-N50;D074,D290;Penis
1;1;28040;C60-C63,D40,N40-N50;D076,D293-D299;OtherMaleGenitalOrgans
1;1;29010;C64-C68,N17-N19,N28,N39,N40;C791,D090,D303,D414;UrinaryBladder
1;1;29020;C64-C68,N17-N19,N28,N39,N40;C790,D091,D300-D301,D410-D411;KidneyandRenalPelvis
1;1;29030;C64-C68,N17-N19;D091,D302,D412;Ureter
1;1;29040;C64-C68,D41,N17-N19;C791,D091,D304,D309;OtherUrinaryOrgans
1;1;30000;C69,D31;D031,D041,D092,D221,D231,D481,D487;EyeandOrbit
1;1;31010;C70-C72,D32-D33,D42-D43;C793-C794;Brain
1;1;31040;C70-C72,D32-D33,D42-D43;C793-C794;CranialNervesOtherNervousSystem
1;1;32010;C73,D34-D35;D093,D440;Thyroid
1;1;32020;C37,C74,C75,D35;C797,D093,D150,D384,D441-D449;OtherEndocrineincludingThymus
1;1;33011;B20-B24,C77,C81-C96,D36,D47; ;Hodgkin-Nodal
1;1;33012;B20-B24,C77,C81-C96,D36,D47; ;Hodgkin-Extranodal
1;1;33041;B20-B24,C77,C81-C96,D36,D47; ;NHL-Nodal
1;1;33042;B20-B24,C77,C81-C96,D36,D47; ;NHL-Extranodal
1;1;34000;C90; ;Myeloma
1;1;35011;C82-C85,C88,C81-C96,D46,D47; ;AcuteLymphocyticLeukemia
1;1;35012;C82-C85,C88,C81-C96,D46,D47; ;ChronicLymphocyticLeukemia
1;1;35013;C82-C85,C88,C81-C96,D46,D47; ;OtherLymphocyticLeukemia
1;1;35021;C82-C85,C88,C81-C96,D46,D47; ;AcuteMyeloidLeukemia
1;1;35022;C82-C85,C88,C81-C96,D46,D47; ;AcuteMyeloidLeukemia
1;1;35023;C82-C85,C88,C81-C96,D46,D47; ;OtherMyeloid/MonocyticLeukemia
1;1;35031;C82-C85,C88,C81-C96,D46,D47; ;OtherMyeloid/MonocyticLeukemia
1;1;35041;C82-C85,C88,C81-C96,D46,D47; ;OtherAcuteLeukemia
1;1;35043;C82-C85,C88,C81-C96,D46,D47; ;Aleukemic,SubleukemicandNOS
1;1;36010;C34,C38-C39,C45; ;Mesothelioma
1;1;36020;B20-B24,C46; ;KaposiSarcoma
8;0;21010;530-537,560-562;4442,5631,5699,7845,7857,9909;Esophagus
8;0;21020;530-537,560-562;4442,5631,5699,7845,7857,9909;Stomach
8;0;21030;530-537,560-562;4442,5631,5699,7845,7857,9909;SmallIntestine
8;0;21041;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;Cecum
8;0;21042;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;Appendix
8;0;21043;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;AscendingColon
8;0;21044;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;HepaticFlexure
8;0;21045;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;TransverseColon
8;0;21046;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;SplenicFlexure
8;0;21047;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;DescendingColon
8;0;21048;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;SigmoidColon
8;0;21049;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;LargeIntestine,NOS
8;0;21051;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;RectosigmoidJunction
8;0;21052;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;Rectum
8;0;21060;530-537,560-562,569;4442,5631,7845,7857,9909;Anus,AnalCanalandAnorectum
8;0;21071;530-537,560-562,570-573;4442,5631,5699,7845,7857,9909;Liver
8;0;21072;530-537,560-562,570-573;4442,5631,5699,7845,7857,9909;IntrahepaticBileDuct
8;0;21080;530-537,560-562,574-576;4442,5631,5699,7845,7857,9909,9989;Gallbladder
8;0;21090;530-537,560-562,574-576;4442,5631,5699,7845,7857,9909,9989;OtherBiliary
8;0;21100;530-537,560-562,577;4442,5631,5699,7845,7857,9909;Pancreas
8;0;21110;530-537,560-562;4442,5631,5699,7845,7857,9909;Retroperitoneum
8;0;21120;530-537,560-562;4442,5631,5699,7845,7857,9909;Peritoneum,OmentumandMesentery
8;0;21130;530-537,560-562;4442,5631,5699,7845,7857,9909;OtherDigestiveOrgans
8;0;25020; ;7572;OtherNon-EpithelialSkin
8;0;26000;610-611;7867;Breast
8;0;27010;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;CervixUteri
8;0;27020;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;CorpusUteri
8;0;27030;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Uterus,NOS
8;0;27040;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Ovary
8;0;27050;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Vagina
8;0;27060;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Vulva
8;0;27070;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;OtherFemaleGenitalOrgans
8;0;28010;600-607;7866;Prostate
8;0;28020;600-607;7866;Testis
8;0;28030;600-607;7866;Penis
8;0;28040;600-607;7866;OtherMaleGenitalOrgans
8;0;29010;580,582,599;4443,5931-5935;UrinaryBladder
8;0;29020;580,582,599;4443,5931-5935;KidneyandRenalPelvis
8;0;29030;580,582;5931,5932;Ureter
8;0;29040;580,582,600;5931,5932;OtherUrinaryOrgans
8;0;32010; ;2419;Thyroid
8;0;33011;279;6959,7572;Hodgkin-Nodal
8;0;33012;279;6959,7572;Hodgkin-Extranodal
8;0;33041;279;6959,7572;NHL-Nodal
8;0;33042;279;6959,7572;NHL-Extranodal
8;0;34000;279; ;Myeloma
8;0;35011;279;6959,7434,7572;AcuteLymphocyticLeukemia
8;0;35012;279;6959,7434,7572;ChronicLymphocyticLeukemia
8;0;35013;279;6959,7434,7572;OtherLymphocyticLeukemia
8;0;35021;279;6959,7434,7572;AcuteMyeloidLeukemia
8;0;35022;279;6959,7434,7572;AcuteMyeloidLeukemia
8;0;35023;279;6959,7434,7572;OtherMyeloid/MonocyticLeukemia
8;0;35031;279;6959,7434,7572;OtherMyeloid/MonocyticLeukemia
8;0;35041;279;6959,7434,7572;OtherAcuteLeukemia
8;0;35043;279;6959,7434,7572;Aleukemic,SubleukemicandNOS
8;0;36020; ;7572;KaposiSarcoma
8;0;37000;284;2759,7572;Miscellaneous
8;1;20010;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Lip
8;1;20020;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Tongue
8;1;20030;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;SalivaryGland
8;1;20040;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;FloorofMouth
8;1;20050;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;GumandOtherMouth
8;1;20060;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Nasopharynx
8;1;20070;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Tonsil
8;1;20080;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Oropharynx
8;1;20090;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Hypopharynx
8;1;20100;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;OtherOralCavityandPharynx
8;1;21010;150-151,159,530-537,560-562;1536,2110,2300,2303,2305,2307,2309,2390,4442,5631,5699,7845,7857,9909;Esophagus
8;1;21020;150-151,159,530-537,560-562;1536,2111,2301,2303,2305,2307,2309,2390,4442,5631,5699,7845,7857,9909;Stomach
8;1;21030;152-155,159,530-537,560-562;1974,1978,2112,2302,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;SmallIntestine
8;1;21041;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;Cecum
8;1;21042;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;Appendix
8;1;21043;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;AscendingColon
8;1;21044;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;HepaticFlexure
8;1;21045;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;TransverseColon
8;1;21046;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;SplenicFlexure
8;1;21047;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;DescendingColon
8;1;21048;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;SigmoidColon
8;1;21049;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;LargeIntestine,NOS
8;1;21051;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;RectosigmoidJunction
8;1;21052;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;Rectum
8;1;21060;152-155,159,211,530-537,560-562,569;1736,1975,2169,2303-2305,2307,2309,2322,4442,5631,7845,7857,9909;Anus,AnalCanalandAnorectum
8;1;21071;155,159,530-537,560-562,570-573;1536,1977,1978,2115,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Liver
8;1;21072;155,159,530-537,560-562,570-573;1536,1977,1978,2115,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;IntrahepaticBileDuct
8;1;21080;156,159,530-537,560-562,574-576;1536,2115,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909,9989;Gallbladder
8;1;21090;156,159,530-537,560-562,574-576;1536,2115,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909,9989;OtherBiliary
8;1;21100;157,159,530-537,560-562,577;1536,2116,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Pancreas
8;1;21110;158-159,530-537,560-562;1536,1976,2117,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Retroperitoneum
8;1;21120;158-159,530-537,560-562;1536,1976,2117,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Peritoneum,OmentumandMesentery
8;1;21130;159,230,530-537,560-562;1536,1979,2119,2390,4442,5631,5699,7845,7857,9909;OtherDigestiveOrgans
8;1;22010;160;1620,1621,1639,1732,2120,2169,2310,2320,2321,2311,2313,2315;Nose,NasalCavityandMiddleEar
8;1;22020;161-162;1639,2121,2310,2311,2313,2315;Larynx
8;1;22030;161-162,215;1639,1970,2122-2125,2129,2261,2310,2311,2313,2315;LungandBronchus
8;1;22050; ;1620,1630,1631,1639,1711,1942,1972,2129,2310,2311,2313,2315;Pleura
8;1;22060;161-163,170;1711,1942,1970-1973,2122,2129,2309,2310,2311,2313,2315,2391;Trachea,MediastinumandOtherRespiratoryOrgans
8;1;23000;170;1985,2139,2320;BonesandJoints
8;1;24000;171,214-215;1922,1929,2129,2139,2261,2399;SoftTissueincludingHeart
8;1;25010;172-173;1982,2169,2322;MelanomaoftheSkin
8;1;25020;172-173,208;1982,2169,2322,7572;OtherNon-EpithelialSkin
8;1;26000;174,217,233,610-611;1736,2169,2322,7867;Breast
8;1;27010;180,182-184,218-219,235,612-614,620,622,624-625;2201,2212,2340,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;CervixUteri
8;1;27020;180,182-184,218-219,235,612-614,620,622,624-625;2201,2212,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;CorpusUteri
8;1;27030;180,182-184,218-219,235,612-614,620,622,624-625;2201,2212,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Uterus,NOS
8;1;27040;180,182-184,219,235,612-614,620,622,624-625;1989,2201,2209,2212,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Ovary
8;1;27050;180,182-184,219,221,612-614,620,622,624-625;2201,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Vagina
8;1;27060;180,182-184,219,221,234,612-614,620,622,624-625;2201,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Vulva
8;1;27070;180,182-184,218-219,221,235,612-614,620,622,624-625;2201,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;OtherFemaleGenitalOrgans
8;1;28010;185-187,600-607;2370,2372,7866;Prostate
8;1;28020;185-187,600-607;2220,2370,2372,7866;Testis
8;1;28030;185-187,600-607;2221,2370-2372,7866;Penis
8;1;28040;185-187,600-607;2169,2228,2229,2370,2372,7866;OtherMaleGenitalOrgans
8;1;29010;188-189,580,582,599;1981,2233,2376,4443,5931-5935;UrinaryBladder
8;1;29020;188-189,223-224,580,582,599;1981,2373,2376,2379,4443,5931-5935;KidneyandRenalPelvis
8;1;29030;188-189,580,582;2232,2373,2379,5931,5932;Ureter
8;1;29040;188-189,580,582,600;2238-2239,2370,2372,2379,5931,5932;OtherUrinaryOrgans
8;1;30000;190,224;2169,2321,2322,2380,2399;EyeandOrbit
8;1;31010;191,225;1920-1922,1929,1983,1984,2262,2391;Brain
8;1;31040;191,225;1920-1922,1929,1983,1984,2262,2391;CranialNervesOtherNervousSystem
8;1;32010;193;2260,2262-2269,2391,2399,2419;Thyroid
8;1;32020;194,226;1989,2315,2321,2391,2399;OtherEndocrineincludingThymus
8;1;33011;196,200-209,228,279;2272,6959,7572;Hodgkin-Nodal
8;1;33012;196,200-209,228,279;2272,6959,7572;Hodgkin-Extranodal
8;1;33041;196,200-209,228,279;2272,6959,7572;NHL-Nodal
8;1;33042;196,200-209,228,279;2272,6959,7572;NHL-Extranodal
8;1;34000;203,279;2079;Myeloma
8;1;35011;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;AcuteLymphocyticLeukemia
8;1;35012;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;ChronicLymphocyticLeukemia
8;1;35013;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;OtherLymphocyticLeukemia
8;1;35021;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;AcuteMyeloidLeukemia
8;1;35022;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;AcuteMyeloidLeukemia
8;1;35023;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;OtherMyeloid/MonocyticLeukemia
8;1;35031;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;OtherMyeloid/MonocyticLeukemia
8;1;35041;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;OtherAcuteLeukemia
8;1;35043;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;Aleukemic,SubleukemicandNOS
8;1;36010;162-163;1711,1942;Mesothelioma
8;1;36020; ;7572;KaposiSarcoma
8;1;37000;140-198,200-209,284;2759,7572;Miscellaneous
9;0;20010;043-044;0420-0421,0429;Lip
9;0;20020;043-044;0420-0421,0429;Tongue
9;0;20030;043-044;0420-0421,0429;SalivaryGland
9;0;20040;043-044;0420-0421,0429;FloorofMouth
9;0;20050;043-044;0420-0421,0429;GumandOtherMouth
9;0;20060;043-044;0420-0421,0429;Nasopharynx
9;0;20070;043-044;0420-0421,0429;Tonsil
9;0;20080;043-044;0420-0421,0429;Oropharynx
9;0;20090;043-044;0420-0421,0429;Hypopharynx
9;0;20100;043-044;0420-0421,0429;OtherOralCavityandPharynx
9;0;21010;530-537,556-562,578; ;Esophagus
9;0;21020;530-537,556-562,578; ;Stomach
9;0;21030;530-537,556-562,578; ;SmallIntestine
9;0;21041;530-543,556-562,567-569,578; ;Cecum
9;0;21042;530-543,556-562,567-569,578; ;Appendix
9;0;21043;530-543,556-562,567-569,578; ;AscendingColon
