ICDVersion;SeqType;Siterec2023;Deathcodes-ignoring4thdigit;Deathcodes-requiring4thdigit;Label
8;1-59;03;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Gum
8;1-59;04;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Floor Of Mouth
8;1-59;05;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Palate Excluding Soft And Uvula
8;1-59;06;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Buccal Mucosa
8;1-59;07;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Mouth Other
8;1-59;08;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Major Salivary Glands
8;1-59;09;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Nasopharynx
8;1-59;10;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Oropharynx
8;1-59;11;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Hypopharynx
8;1-59;12;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Pharynx And Oral Cavity Other
8;1-59;13;160;1620,1621,1639,1732,2120,2169,2310,2311,2313,2315,2320,2321;Nasal Cavity And Paranasal Sinuses
8;1-59;14;160;1620,1621,1639,1732,2120,2169,2310,2311,2313,2315,2320,2321;Sinus Other
8;1-59;15;161-162;1639,2121,2310,2311,2313,2315;Larynx
8;1-59;16;150-151,159,530-537,560-562;1536,2110,2300,2303,2305,2307,2309,2390,4442,5631,5699,7845,7857,9909;Esophagus
8;1-59;17;150-151,159,530-537,560-562;1536,2111,2301,2303,2305,2307,2309,2390,4442,5631,5699,7845,7857,9909;Stomach
8;1-59;18;152-155,159,530-537,560-562;1974,1978,2112,2302,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Small Intestine
8;1-59;19;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;Appendix
8;1-59;20;152-155,159,211,530-543,560-562,568,569;1975,1978,2303-2305,2307,2309,4442,5631,5679,7845,7857,9909;Colon And Rectum (Excluding Appendix)
8;1-59;21;152-155,159,211,530-537,560-562,569;1736,1975,2169,2303-2305,2307,2309,2322,4442,5631,7845,7857,9909;Anus, Anal Canal And Anorectum
8;1-59;22;155,159,530-537,560-562,570-573;1536,1977,1978,2115,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Liver
8;1-59;23;155,159,530-537,560-562,570-573;1536,1977,1978,2115,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Intrahepatic Bile Duct
8;1-59;24;156,159,530-537,560-562,574-576;1536,2115,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909,9989;Gallbladder
8;1-59;25;156,159,530-537,560-562,574-576;1536,2115,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909,9989;Extrahepatic Bile Ducts
8;1-59;26;156,159,530-537,560-562,574-576;1536,2115,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909,9989;Ampulla Of Vater
8;1-59;27;156,159,530-537,560-562,574-576;1536,2115,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909,9989;Biliary Other
8;1-59;28;157,159,530-537,560-562,577;1536,2116,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Pancreas
8;1-59;29;159,230,530-537,560-562;1536,1979,2119,2390,4442,5631,5699,7845,7857,9909;Digestive Other
8;1-59;30;161-162,215;1639,1970,2122-2125,2129,2261,2310,2311,2313,2315;Lung And Bronchus
8;1-59;31;254;1631,1639,1942,1948-1949,2129,2261,2268-2269,2315;Thymus
8;1-59;32; ;1620,1630,1631,1639,1711,1942,1972,2129,2310,2311,2313,2315;Heart, Mediastinum And Pleura
8;1-59;33;161-163,170;1711,1942,1970-1973,2122,2129,2309,2310,2311,2313,2315,2391;Trachea, And Respiratory Other
8;1-59;34;170;1985,2139,2320;Bones And Joints
8;1-59;35;158-159,530-537,560-562;1536,1976,2117,2119,2303,2305,2307,2309,4442,5631,5699,7845,7857,9909;Retroperitoneum And Peritoneum
8;1-59;36;171,214-215;1922,1929,2129,2139,2261,2399;Soft Tissue
8;1-59;37;172-173;1982,2169,2322;Melanoma Of The Skin
8;1-59;38;172-173,208;1982,2169,2322,7572;Other Non-Epithelial Skin
8;1-59;39;174,217,233,610-611;1736,2169,2322,7867;Breast
8;1-59;40;180,182-184,219,221,234,612-614,620,622,624-625;2201,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Vulva
8;1-59;41;180,182-184,219,221,612-614,620,622,624-625;2201,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Vagina
8;1-59;42;180,182-184,218-219,235,612-614,620,622,624-625;2201,2212,2340,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Cervix
8;1-59;43;180,182-184,218-219,235,612-614,620,622,624-625;2201,2212,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Corpus
8;1-59;44;180,182-184,219,235,612-614,620,622,624-625;1989,2201,2209,2212,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Ovary
8;1-59;45;180,182-184,218-219,221,235,612-614,620,622,624-625;2201,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Fallopian Tube
8;1-59;46;180,182-184,218-219,221,235,612-614,620,622,624-625;2201,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Adnexa Other And Genital Female Other
8;1-59;47;180,182-184,218-219,221,235,612-614,620,622,624-625;2201,2349,2369,5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Placenta
8;1-59;48;185-187,600-607;2221,2370-2372,7866;Penis
8;1-59;49;185-187,600-607;2370,2372,7866;Prostate
8;1-59;50;185-187,600-607;2220,2370,2372,7866;Testis
8;1-59;51;185-187,600-607;2169,2228,2229,2370,2372,7866;Genital Male Other
8;1-59;52;188-189,223-224,580,582,599;1981,2373,2376,2379,4443,5931-5935;Kidney Parenchyma
8;1-59;53;188-189,223-224,580,582,599;1981,2373,2376,2379,4443,5931-5935;Kidney Renal Pelvis
8;1-59;54;188-189,580,582;2232,2373,2379,5931,5932;Ureter
8;1-59;55;188-189,580,582,599;1981,2233,2376,4443,5931-5935 ;Urinary Bladder
8;1-59;56;188-189,580,582,600;2238-2239,2370,2372,2379,5931,5932;Urethra
8;1-59;57;188-189,580,582,600;2238-2239,2370,2372,2379,5931,5932;Urinary Other
8;1-59;58;190,224;2169,2321,2322,2380,2399;Eye And Orbit
8;1-59;59;191,225;1920-1922,1929,1983,1984,2262,2391;Meninges (Malignant)
8;1-59;60;191,225;1920-1922,1929,1983,1984,2262,2391;Brain (Malignant)
8;1-59;61;191,225;1920-1922,1929,1983,1984,2262,2391;CNS Other (Malignant)
8;1-59;62;191,225;1920-1922,1929,1983,1984,2262,2391;Intracranial Gland (Malignant)
8;1-59;63;193;2260,2262-2269,2391,2399,2419;Thyroid
8;1-59;64;194,226;1989,2315,2321,2391,2399;Adrenal Gland
8;1-59;65;194,226;1989,2315,2321,2391,2399;Parathyroid
8;1-59;66;194,226;1989,2315,2321,2391,2399;Endocrine Other
8;1-59;67;140-198,200-209,284;2759,7572;Precursor Lymphoid Neoplasms
8;1-59;68;140-198,200-209,284;2759,7572;Chronic lymphocytic leukemia (CLL)/Small lymphocytic lymphoma
8;1-59;69;196,200-209,228,279;2272,6959,7572;Hodgkin Lymphomas
8;1-59;70;196,200-209,228,279;2272,6959,7572;Non-Hodgkin Lymphomas
8;1-59;71;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;Lymphoid Leukemias (excluding CLL/SLL)
8;1-59;72;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;Acute Myeloid Leukemias
8;1-59;73;200,202-204,209,279;2069,2079,2262,2381,2389,2391,6959,7434,7572;Other Leukemias
8;1-59;74;203,279;2079;Plasma Cell Neoplasms and Immunoproliferative Diseases
8;1-59;75;203,279;2079;Myeloproliferative Neoplasms and Myelodysplastic Syndromes
8;1-59;76;140-198,200-209,284;2759,7572;Miscellaneous Hematopoietic Neoplasms
8;1-59;77;162-163;1711,1942;Mesothelioma
8;1-59;78; ;7572;Kaposi Sarcoma
8;1-59;79;140-198,200-209,284;2759,7572;Miscellaneous Neoplasms
8;1-59;80;140-198,200-209,284;2759,7572;In situ neoplasms
8;1-59;81;191,225;1920-1922,1929,1983,1984,2262,2391;Brain,CNS Other and Intracranial Gland (Benign and Borderline)
8;1-59;82;140-198,200-209,284;2759,7572;Benign and Borderline: All Other sites
9;0;01;043-044;0420-0421,0429;Lip
9;0;02;043-044;0420-0421,0429;Tongue Anterior
9;0;03;043-044;0420-0421,0429;Gum
9;0;04;043-044;0420-0421,0429;Floor Of Mouth
9;0;05;043-044;0420-0421,0429;Palate Excluding Soft And Uvula
9;0;06;043-044;0420-0421,0429;Buccal Mucosa
9;0;07;043-044;0420-0421,0429;Mouth Other
9;0;08;043-044;0420-0421,0429;Major Salivary Glands
9;0;09;043-044;0420-0421,0429;Nasopharynx
9;0;10;043-044;0420-0421,0429;Oropharynx
9;0;11;043-044;0420-0421,0429;Hypopharynx
9;0;12;043-044;0420-0421,0429;Pharynx And Oral Cavity Other
9;0;16;530-537,556-562,578; ;Esophagus
9;0;17;530-537,556-562,578; ;Stomach
9;0;18;530-537,556-562,578; ;Small Intestine
9;0;19;530-543,556-562,567-569,578; ;Appendix
9;0;20;530-543,556-562,567-569,578; ;Colon And Rectum (Excluding Appendix)
9;0;21;042-044,530-537,556-562,569,578; ;Anus, Anal Canal And Anorectum
9;0;22;530-537,556-562,570-573,578; ;Liver
9;0;23;530-537,556-562,570-573,578; ;Intrahepatic Bile Duct
9;0;24;530-537,556-562,574-576,578; ;Gallbladder
9;0;25;530-537,556-562,574-576,578; ;Extrahepatic Bile Ducts
9;0;26;530-537,556-562,574-576,578; ;Ampulla Of Vater
9;0;27;530-537,556-562,574-576,578; ;Biliary Other
9;0;28;530-537,556-562,577-578; ;Pancreas
9;0;29;530-537,556-562,578; ;Digestive Other
9;0;35;530-537,556-562,578; ;Retroperitoneum And Peritoneum
9;0;39;611; ;Breast
9;0;40;614-621; ;Vulva
9;0;41;614-621; ;Vagina
9;0;42;043-044,614-621;0420-0421,0429;Cervix
9;0;43;614-621; ;Corpus
9;0;44;614-621; ;Ovary
9;0;45;614-621; ;Fallopian Tube
9;0;46;614-621; ;Adnexa Other And Genital Female Other
9;0;47;614-621; ;Placenta
9;0;48;600-608; ;Penis
9;0;49;600-608; ;Prostate
9;0;50;600-608; ;Testis
9;0;51;600-608; ;Genital Male Other
9;0;52;584-586,593,599; ;Kidney Parenchyma
9;0;53;584-586,593,599; ;Kidney Renal Pelvis
9;0;54;584-586; ;Ureter
9;0;55;584-586,593,599; ;Urinary Bladder
9;0;56;584-586; ;Urethra
9;0;57;584-586; ;Urinary Other
9;0;69;043-044;0420-0421,0429;Hodgkin Lymphomas
9;0;70;043-044;0420-0421,0429;Non-Hodgkin Lymphomas
9;0;78;043-044;0420-0421,0429;Kaposi Sarcoma
9;0;79;284;2731;Miscellaneous Neoplasms
9;0;80;284;2731;In situ neoplasms 284 2731
9;0;82;284;2731;Benign and Borderline: All Other sites 284 2731
9;1-59;01;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Lip
9;1-59;02;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Tongue Anterior
9;1-59;03;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Gum
9;1-59;04;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Floor Of Mouth
9;1-59;05;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Palate Excluding Soft And Uvula
9;1-59;06;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Buccal Mucosa
9;1-59;07;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Mouth Other
9;1-59;08;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Major Salivary Glands
9;1-59;09;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Nasopharynx
9;1-59;10;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Oropharynx
9;1-59;11;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Hypopharynx
9;1-59;12;042-044,140-149,210,215-216,235;1602-1609,1700,1710,1719,1730,1733,1734,1739,1950,2300,2320,2323-2324;Pharynx And Oral Cavity Other
9;1-59;13;160,162,165;1732,2120,2162,2318,2322,2356-2359,2381;Nasal Cavity And Paranasal Sinuses
9;1-59;14;160,162,165;1732,2120,2162,2318,2322,2356-2359,2381;Sinus Other
9;1-59;15;161-162,165;2121,2310,2356-2359;Larynx
9;1-59;16;150-151,159,530-537,556-562,578;2110,2301,2352-2355;Esophagus
9;1-59;17;150-151,159,530-537,556-562,578;2111,2302,2352-2355;Stomach
9;1-59;18;152-155,159,530-537,556-562,578;1974,2112,2307,2352-2355;Small Intestine
9;1-59;19;152-155,159,211,530-543,556-562,567-569,578;1975,2303,2304,2352-2355;Appendix
9;1-59;20;152-155,159,211,530-543,556-562,567-569,578;1975,2303,2304,2352-2355;Colon And Rectum (Excluding Appendix)
9;1-59;21;152-155,159,211,530-537,556-562,569,578;0422,1735,1975,2165,2305,2325,2352-2355,2382;Anus, Anal Canal And Anorectum
9;1-59;22;155,159,530-537,556-562,570-573,578;1977,2115,2308,2352-2355;Liver
9;1-59;23;155,159,530-537,556-562,570-573,578;1977,2115,2308,2352-2355;Intrahepatic Bile Duct
9;1-59;24;156,159,530-537,556-562,574-576,578;2115,2119,2308,2352-2355;Gallbladder
9;1-59;25;156,159,530-537,556-562,574-576,578;2115,2119,2308,2352-2355;Extrahepatic Bile Ducts
9;1-59;26;156,159,530-537,556-562,574-576,578;2115,2119,2308,2352-2355;Ampulla Of Vater
9;1-59;27;156,159,530-537,556-562,574-576,578;2115,2119,2308,2352-2355;Biliary Other
9;1-59;28;157,159,530-537,556-562,577-578;2116,2117,2309,2352-2355;Pancreas
9;1-59;29;159,230,530-537,556-562,578;1978,2119,2352-2355;Digestive Other
9;1-59;30;161,162,165;1970,2122-2129,2312,2356-2359;Lung And Bronchus
9;1-59;31;254;1640,1948-1949,2126,2278-2279,2358,2374;Thymus
9;1-59;32;164-165;1620,1639,1972,2129,2318,2356-2359;Heart, Mediastinum And Pleura
9;1-59;33;161-170;1970-1973,2122,2129,2311,2356-2359,2391;Trachea, And Respiratory Other
9;1-59;34;170,213;1985,2380;Bones And Joints
9;1-59;35;158,159,530-537,556-562,578;1976,2118,2119,2309,2352-2355;Retroperitoneum And Peritoneum
9;1-59;36;171;1641,1922,1928,1929,2126-2159,2388;Soft Tissue
9;1-59;37;172-173,216,232;1982;Melanoma Of The Skin
9;1-59;38;172-173,176,216,232;1982,2384;Other Non-Epithelial Skin
9;1-59;39;174,217,611;1735,2165,2330,2382,2383;Breast
9;1-59;40;179-180,182-184,221,614-621;2331,2363;Vulva
9;1-59;41;179-180,182-184,221,614-621;2333,2363;Vagina
9;1-59;42;042-044,179-180,182-184,218,219,614-621;2331,2360-2363;Cervix
9;1-59;43;179-180,182-184,218-219,614-621;2332,2333,2360-2363;Corpus
9;1-59;44;179-180,182-184,220,614-621;1986,2333,2360-2363;Ovary
9;1-59;45;179-184,218-219,221,614-621;2333,2360-2363;Fallopian Tube
9;1-59;46;179-184,218-219,221,614-621;2333,2360-2363;Adnexa Other And Genital Female Other
9;1-59;47;179-184,218-219,221,614-621;2333,2360-2363;Placenta
9;1-59;48;185-187,600-608;2221,2335,2364-2366;Penis
9;1-59;49;185-187,600-608;2222,2334,2364-2366;Prostate
9;1-59;50;185-187,600-608;2220,2336,2364-2366;Testis
9;1-59;51;185-187,600-608;2223-2229,2336,2364-2366;Genital Male Other
9;1-59;52;188-189,223-224,584-586,593,599;1981,2339,2367,2369;Kidney Parenchyma
9;1-59;53;188-189,223-224,584-586,593,599;1981,2339,2367,2369;Kidney Renal Pelvis
9;1-59;54;188-189,584-586;2232,2339,2369;Ureter
9;1-59;55;188-189,584-586,593,599;1981,2233,2337,2367;Urinary Bladder
9;1-59;56;188-189,584-586;1981,2238-2239,2339,2364-2369;Urethra
9;1-59;57;188-189,584-586;1981,2238-2239,2339,2364-2369;Urinary Other
9;1-59;58;190,224;2161,2321,2340,2381,2388;Eye And Orbit
9;1-59;59;191,225;1920-1922,1928,1929,1983,1984,2370,2374;Meninges (Malignant)
9;1-59;60;191,225;1920-1922,1928,1929,1983,1984,2370,2374;Brain (Malignant)
9;1-59;61;191,225;1920-1922,1928,1929,1983,1984,2370,2374;CNS Other (Malignant)
9;1-59;62;191,225;1920-1922,1928,1929,1983,1984,2370,2374;Intracranial Gland (Malignant)
9;1-59;63;193,226-227;2348,2374;Thyroid
9;1-59;64;194,227;1640,1987,2126,2348,2358,2370-2374,2381;Adrenal Gland
9;1-59;65;194,227;1640,1987,2126,2348,2358,2370-2374,2381;Parathyroid
9;1-59;66;194,227;1640,1987,2126,2348,2358,2370-2374,2381;Endocrine Other
9;1-59;67;140-198,200-208,284;2384,2385,2387,2731;Precursor Lymphoid Neoplasms
9;1-59;68;140-198,200-208,284;2384,2385,2387,2731;Chronic lymphocytic leukemia (CLL)/Small lymphocytic lymphoma
9;1-59;69;042-044,196,200-208,229;2385,2387;Hodgkin Lymphomas
9;1-59;70;042-044,196,200-208,229;2385,2387;Non-Hodgkin Lymphomas
9;1-59;71;200,202-204,237;2387;Lymphoid Leukemias (excluding CLL/SLL)
9;1-59;72;200,202-204,237;2387;Acute Myeloid Leukemias
9;1-59;73;200,202-204,237;2387;Other Leukemias
9;1-59;74;203,279;2079;Plasma Cell Neoplasms and Immunoproliferative Diseases
9;1-59;75;203,279;2079;Myeloproliferative Neoplasms and Myelodysplastic Syndromes
9;1-59;76;140-198,200-208,284;2384,2385,2387,2731;Miscellaneous Hematopoietic Neoplasms
9;1-59;77;162-165; ;Mesothelioma
9;1-59;78;042-044,176; ;Kaposi Sarcoma
9;1-59;79;140-198,200-208,284;2384,2385,2387,2731;Miscellaneous Neoplasms
9;1-59;80;140-198,200-208,284;2384,2385,2387,2731;In situ neoplasms
9;1-59;81;191,225;1920-1922,1928,1929,1983,1984,2370,2374;Brain,CNS Other and Intracranial Gland (Benign and Borderline)
9;1-59;82;140-198,200-208,284;2384,2385,2387,2731;Benign and Borderline: All Other sites
1;0;01;B20,B22-B24; ;Lip
1;0;02;B20,B22-B24; ;Tongue Anterior
1;0;03;B20,B22-B24; ;Gum
1;0;04;B20,B22-B24; ;Floor Of Mouth
1;0;05;B20,B22-B24; ;Palate Excluding Soft And Uvula
1;0;06;B20,B22-B24; ;Buccal Mucosa
1;0;07;B20,B22-B24; ;Mouth Other
1;0;08;B20,B22-B24; ;Major Salivary Glands
1;0;09;B20,B22-B24; ;Nasopharynx
1;0;10;B20,B22-B24; ;Oropharynx
1;0;11;B20,B22-B24; ;Hypopharynx
1;0;12;B20,B22-B24; ;Pharynx And Oral Cavity Other
1;0;16;K20-K31,K51-K57,K92; ;Esophagus
1;0;17;K20-K31,K51-K57,K92; ;Stomach
1;0;18;K20-K31,K35-K63,K90-K93; ;Small Intestine
1;0;19;K20-K31,K35-K38,K51-K57,K62,K63,K65,K66,K92; ;Appendix
1;0;20;K20-K31,K35-K38,K51-K57,K62,K63,K65,K66,K92; ;Colon And Rectum (Excluding Appendix)
1;0;21;B20,B22-B24,K20-K31,K51-K57,K62,K92; ;Anus, Anal Canal And Anorectum
1;0;22;K20-K31,K51-K57,K70-K76,K92; ;Liver
1;0;23;K20-K31,K51-K57,K70-K76,K92; ;Intrahepatic Bile Duct
1;0;24;K20-K31,K51-K57,K80-K83,K92; ;Gallbladder
1;0;25;K20-K31,K51-K57,K80-K83,K92; ;Extrahepatic Bile Ducts
1;0;26;K20-K31,K51-K57,K80-K83,K92; ;Ampulla Of Vater
1;0;27;K20-K31,K51-K57,K80-K83,K92; ;Biliary Other
1;0;28;K20-K31,K51-K57,K80-K83,K85,K86,K92; ;Pancreas
1;0;29;K20-K31,K51-K57,K92; ;Digestive Other
1;0;35;K20-K31,K51-K57,K92; ;Retroperitoneum And Peritoneum
1;0;39;N61-N64; ;Breast
1;0;40;N71-N85; ;Vulva
1;0;41;N71-N85; ;Vagina
1;0;42;B20,B22-B24,N71-N85; ;Cervix
1;0;43;N71-N85; ;Corpus
1;0;44;N71-N85; ;Ovary
1;0;45;N71-N85; ;Fallopian Tube
1;0;46;N71-N85; ;Adnexa Other And Genital Female Other
1;0;47;N71-N85; ;Placenta
1;0;48;N40-N50; ;Penis
1;0;49;N40-N50; ;Prostate
1;0;50;N40-N50; ;Testis
1;0;51;N40-N50; ;Genital Male Other
1;0;52;N17-N19,N28,N39,N40;Kidney Parenchyma
1;0;53;N17-N19,N28,N39,N40;Kidney Renal Pelvis
1;0;54;N17-N19; ;Ureter
1;0;55;N17-N19,N28,N39,N40; ;Urinary Bladder
1;0;56;N17-N19; ;Urethra
1;0;57;N17-N19; ;Urinary Other
1;0;69;B20,B22-B24; ;Hodgkin Lymphomas
1;0;70;B20,B22-B24; ;Non-Hodgkin Lymphomas
1;0;78;B20,B22-B24; ;Kaposi Sarcoma
1;1-59;01;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Lip
1;1-59;02;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Tongue Anterior
1;1-59;03;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Gum
