Primary Site,EOD 13dig Digit 4,EOD 13dig Digit 5,EOD 13dig Digit 6,EOD 13dig Digit 7,EOD 13dig Digit 8,EOD 13dig Digit 13,EOD 13dig Ext Recode
340-349,"1-9,&,-","1-9,&,-","7-9,&",0-9,"0-9,&",0,07
340-349,"1-9,-,&","1-9,&,-","0-9,&",0-9,"0-9,&","1-5,8,9,&",08
340-349,"1,-","1,-",0,0,0,0,09
500-509,"0-9,&,-",0,"0-9,&,-","0-9,&,-","0-9,&,-",0,00
500-509,"0-2,-",1-2,"0-9,&,-","0-9,&,-","0-9,&,-",0,01
500-509,0-2,-,"0-9,&,-","0-9,&,-","0-9,&,-",0,01
500-509,"0-2,&,-",&,"0-9,&,-","0-9,&,-","0-9,&,-",0,01
500-509,&,"1-2,-","0-9,&,-","0-9,&,-","0-9,&,-",0,01
500-509,"0-3,-,&",4,"0-9,&,-","0-9,&,-","0-9,&,-",0,02
500-509,3,"1-2,-,&","0-9,&,-","0-9,&,-","0-9,&,-",0,02
500-509,"0-3,7,-,&",7,"0-9,&,-","0-9,&,-","0-9,&,-",0,03
500-509,7,"1-2,4,-,&","0-9,&,-","0-9,&,-","0-9,&,-",0,03
500-509,"0-3,7,8,-,&",8,"0-9,&,-","0-9,&,-","0-9,&,-",0,04
500-509,8,"1-2,4,7,-,&","0-9,&,-","0-9,&,-","0-9,&,-",0,04
500-509,"0-5,7-8,-,&",5,"0-9,&,-","0-9,&,-","0-9,&,-",0,05
500-509,"4,5","1-2,4,7-8,-,&","0-9,&,-","0-9,&,-","0-9,&,-",0,05
500-509,"0-8,-,&",6,"0-9,&,-","0-9,&,-","0-9,&,-",0,06
500-509,6,"1-2,4-5,7-8,-,&","0-9,&,-","0-9,&,-","0-9,&,-",0,06
500-509,"0-9,-,&",9,"0-9,&,-","0-9,&,-","0-9,&,-",0,07
500-509,9,"1-2,4-8,-,&","0-9,&,-","0-9,&,-","0-9,&,-",0,07
500-509,"0-9,&,-","1-9,&,-","0-9,&,-","0-9,&,-","0-9,&,-","1-9,&",08
500-509,-,-,"0-9,&,-","0-9,&,-","0-9,&,-",0,09
530-539,"0,&,2-9",0,"0-9,&",0,"0-9,&,-",0,00
530-539,"0,&,2-9",&,"0-9,&",0,"0-9,&,-",0,01
530-539,"0,2,&","1,2",0,0,"0-9,&,-",0,02
530-539,2,-,0,0,"0-9,&,-",0,02
530-539,"0,2,3,&",3,0,0,"0-9,&,-",0,03
530-539,3,"1,2,-",0,0,"0-9,&,-",0,03
530-539,"0,2-4,&",4,0,0,"0-9,&,-",0,04
530-539,4,"1-3,-",0,0,"0-9,&,-",0,04
530-539,"0,2-4,&","1-4,-","0,1",1,"0-9,&,-",0,05
530-539,"0,2-4,&","1-4,-",1,0,"0-9,&,-",0,05
530-539,"0,2-9,&",5-9,"0,1","0,1","0-9,&,-",0,06
530-539,5-9,"1-4,-","0,1","0,1","0-9,&,-",0,06
530-539,"0,2-9,&","1-9,-",0-2,2,"0-9,&,-",0,07
530-539,"0,2-9,&","1-9,-",2,0-1,"0-9,&,-",0,07
530-539,"0,&,2-9","1-9,-","0-9,&","3-9,&","0-9,&,-",0,08
530-539,"0,&,2-9","1-9,-","3-9,&",0-2,"0-9,&,-",0,08
530-539,"0,&,2-9","1-9,-","0-9,&","0-9,&","0-9,&,-","1-9,&",08
530-539,"0,&",-,0,0,"0-9,&,-",0,09
540-549,"0-6,-",0,0,0,"0-9,&,-",0,00
540-549,"0,3,-","1,3,5",0,0,"0-9,&,-",0,01
540-549,"0,3","8,-",0,0,"0-9,&,-",0,01
540-549,1,"1,3,5,8,-",0,0,"0-9,&,-",0,02
540-549,"0-3,-",7,0,0,"0-9,&,-",0,03
540-549,2,"1,3,5,8,-",0,0,"0-9,&,-",0,04
540-549,"0-4,-","2,4,6",0,0,"0-9,&,-",0,05
540-549,4,"1,3,5,7,8,-",0,0,"0-9,&,-",0,05
540-549,"0-6,-",9,0,0,"0-9,&,-",0,06
540-549,"5,6","1-8,-",0,0,"0-9,&,-",0,06
540-549,"0-6,-","1-9,-","0,2-4",2-4,"0-9,&,-",0,06
540-549,"0-6,-","1-9,-",2-4,0,"0-9,&,-",0,06
540-549,"0-6,-","1-9,-",0-8,"1,5-8","0-9,&,-",0,08
540-549,"0-6,-","1-9,-","1,5-8","0,2-4","0-9,&,-",0,08
540-549,"0-6,-","1-9,-",0-8,0-8,"0-9,&,-","1-9,&",08
540-549,-,"8,-",0,0,"0-9,&,-",0,09
619,"0-9,&",0,"0-9,&,-","0-9,&,-","0-9,&,-",0,00
619,0-3,2,"0-9,&,-","0-9,&,-","0-9,&,-",0,02
619,1-2,"1,-","0-9,&,-","0-9,&,-","0-9,&,-",0,02
619,3,"1,-","0-9,&,-","0-9,&,-","0-9,&,-",0,03
619,0,1,"0-9,&,-","0-9,&,-","0-9,&,-",0,03
619,0-4,3,"0-9,&,-","0-9,&,-","0-9,&,-",0,04
619,4,"1-2,-","0-9,&,-","0-9,&,-","0-9,&,-",0,05
619,0-4,4,"0-9,&,-","0-9,&,-","0-9,&,-",0,05
619,0-7,"5,6,7","0-9,&,-","0-9,&,-","0-9,&,-",0,05
619,"5,6,7","1-4,-","0-9,&,-","0-9,&,-","0-9,&,-",0,05
619,0-8,8,"0-9,&,-","0-9,&,-","0-9,&,-",0,07
619,8,"1-7,-","0-9,&,-","0-9,&,-","0-9,&,-",0,07
619,"0-9,&","9,&","0-9,&,-","0-9,&,-","0-9,&,-",0,08
619,"9,&","1-8,-","0-9,&,-","0-9,&,-","0-9,&,-",0,08
619,"0-9,&","1-9,&,-","0-9,&,-","0-9,&,-","0-9,&,-","1-9,&",08
619,0,-,"0-9,&,-","0-9,&,-","0-9,&,-",0,09
